action_date,count_total_carts,count_total_checkout_attempts,count_successful_checkout_attempts
2022-12-11,8,2,0
2022-12-12,15,5,2
2022-12-13,14,4,1
2022-12-14,14,5,3
2022-12-15,19,10,3
2022-12-16,20,8,4
2022-12-17,10,7,1
2022-12-18,6,5,2
2022-12-19,17,7,3
2022-12-20,11,7,3
2022-12-21,19,7,0
2022-12-22,13,9,2
2022-12-23,17,7,4
2022-12-24,13,4,1
2022-12-25,13,3,2
2022-12-26,16,6,3
2022-12-27,10,5,2
2022-12-28,7,4,0
2022-12-29,13,6,3
2022-12-30,18,8,4
2022-12-31,9,4,0
2023-01-01,12,1,0
2023-01-02,21,11,2
2023-01-03,20,10,3
2023-01-04,23,13,2
2023-01-05,11,8,1
2023-01-06,21,7,3
2023-01-07,15,7,1
2023-01-08,26,12,3
2023-01-09,14,7,4
2023-01-10,29,18,9
2023-01-11,12,4,3
2023-01-12,18,10,3
2023-01-13,16,6,3
2023-01-14,9,4,1
2023-01-15,6,4,1
2023-01-16,17,7,2
2023-01-17,36,13,5
2023-01-18,40,31,9
2023-01-19,63,34,15
2023-01-20,24,12,5
2023-01-21,29,17,6
2023-01-22,21,9,2
2023-01-23,25,17,6
2023-01-24,32,19,4
2023-01-25,34,9,3
2023-01-26,20,10,4
2023-01-27,20,11,4
2023-01-28,27,12,3
2023-01-29,22,9,3
2023-01-30,35,16,8
2023-01-31,35,12,3
